artist;song;year
Maroon 5;Daylight;2012
Childish Gambino;3005;2013
Avril Lavigne;Here's to Never Growing Up;2013
Taylor Swift;22;2012
Passenger;Let Her Go;2012
Ariana Grande;The Way;2013
Rihanna;Stay;2012
Justin Timberlake;Suit & Tie (feat. Jay-Z);2013
Bruno Mars;When I Was Your Man;2012
Florida Georgia Line;Cruise;2012
Pharrell Williams;"Happy - From ""Despicable Me 2""";2014
Katy Perry;Dark Horse;2013
ScHoolboy Q;Collard Greens;2014
Iggy Azalea;Fancy;2014
Maroon 5;Animals;2014
Sam Smith;Stay With Me;2014
MAGIC!;Rude;2014
Sia;Chandelier;2014
John Legend;All of Me;2013
ZHU;Faded;2014
Meghan Trainor;All About That Bass;2015
David Guetta;Lovers on the Sun (feat. Sam Martin);2014
Iggy Azalea;Black Widow;2014
Tove Lo;Habits (Stay High);2014
Oliver Heldens;Gecko (Overdrive) - Radio Edit;2014
DJ Snake;You Know You Like It;2014
Jason Derulo;Talk Dirty (feat. 2 Chainz);2013
Maroon 5;Maps;2014
David Guetta;Bad (feat. Vassy) - Radio Edit;2014
Tinashe;2 On (feat. ScHoolboy Q);2014
Route 94;My Love (feat. Jess Glynne);2014
Taylor Swift;Bad Blood;2014
Trey Songz;Na Na;2015
Calvin Harris;Under Control (feat. Hurts);2014
O.T. Genasis;CoCo;2014
Jason Derulo;Wiggle (feat. Snoop Dogg);2013
Lilly Wood and The Prick;Prayer in C - Robin Schulz Radio Edit;2014
Jeremih;Don't Tell 'Em;2015
Nicki Minaj;Anaconda;2014
Calvin Harris;Blame (feat. John Newman);2014
DJ Snake;Turn Down for What;2013
Pitbull;Timber (feat. Ke$ha);2012
OneRepublic;Counting Stars;2014
Bobby Shmurda;Hot N*gga;2014
Calvin Harris;Summer;2014
ScHoolboy Q;Man Of The Year;2014
Nico & Vinz;Am I Wrong;2014
Becky G;Shower;2014
Sigma;Nobody To Love - Radio Edit;2014
The Chainsmokers;#SELFIE - Original Mix;2014
Lorde;Team;2013
Rixton;Me And My Broken Heart;2014
Klingande;Jubel - Radio Edit;2013
Mr. Probz;Waves - Robin Schulz Radio Edit;2014
Paloma Faith;Only Love Can Hurt Like This;2014
Kiesza;Hideaway;2014
Ellie Goulding;Burn;2014
Ariana Grande;Break Free;2014
Kid Ink;Show Me (feat. Chris Brown);2014
Tove Lo;Talking Body;2014
Chris Brown;Loyal (feat. Lil Wayne & Tyga);2014
OneRepublic;Love Runs Out;2014
Olly Murs;Up (feat. Demi Lovato);2014
Peking Duk;High (feat. Nicole Millar);2014
Milky Chance;Stolen Dance;2014
Ed Sheeran;Don't;2014
Ariana Grande;Love Me Harder;2014
Enrique Iglesias;Bailando - Spanish Version;2014
Avicii;Hey Brother;2013
Jessie J;Bang Bang;2014
Duke Dumont;I Got U;2014
Gorgon City;Ready For Your Love;2014
Taylor Swift;Style;2014
MKTO;Classic;2012
Disclosure;Latch;2013
Ariana Grande;Problem;2014
Charli XCX;Boom Clap;2014
One Direction;Steal My Girl;2014
Tiësto;Red Lights;2013
Selena Gomez;The Heart Wants What It Wants;2014
Rita Ora;I Will Never Let You Down;2014
5 Seconds of Summer;She Looks So Perfect;2014
The Script;Superheroes;2014
Taylor Swift;Shake It Off;2014
One Direction;Night Changes;2014
Ed Sheeran;Sing;2014
Alesso;Heroes (we could be);2014
Tiësto;Wasted;2014
G.R.L.;Ugly Heart;2014
Coldplay;A Sky Full of Stars;2014
Clean Bandit;Rather Be (feat. Jess Glynne);2014
Zedd;Stay The Night - Featuring Hayley Williams Of Paramore;2014
Sia;Elastic Heart;2014
One Direction;Story of My Life;2013
Alex & Sierra;Little Do You Know;2014
Omarion;Post to Be (feat. Chris Brown & Jhene Aiko);2014
Echosmith;Cool Kids;2013
Natalie La Rose;Somebody;2014
Vance Joy;Riptide;2014
Beyoncé;Drunk in Love (feat. Jay-Z);2014
Maroon 5;Sugar;2014
Ella Henderson;Ghost;2014
Ed Sheeran;"I See Fire - From ""The Hobbit - The Desolation Of Smaug""";2013
Chris Brown;New Flame (feat. Usher & Rick Ross);2014
Sheppard;Geronimo;2014
Olly Murs;Wrapped Up (feat. Travie McCoy);2014
Sam Smith;Money On My Mind;2014
Jason Derulo;Trumpets;2013
Nicki Minaj;Bed Of Lies;2014
Nick Jonas;Jealous - Remix;2014
Mark Ronson;Uptown Funk (feat. Bruno Mars);2015
Ed Sheeran;Thinking out Loud;2014
Wiz Khalifa;See You Again (feat. Charlie Puth);2015
Justin Bieber;What Do You Mean?;2015
Major Lazer;Lean On (feat. MØ & DJ Snake);2015
The Weeknd;"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack";2014
Ellie Goulding;"Love Me Like You Do - From ""Fifty Shades Of Grey""";2015
Calvin Harris;Outside (feat. Ellie Goulding);2014
David Guetta;Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack);2014
Demi Lovato;Cool for the Summer;2015
Taylor Swift;Blank Space;2014
The Weeknd;The Hills;2015
The Neighbourhood;Daddy Issues;2015
Deorro;Five More Hours;2015
Avicii;The Nights;2014
DJ Snake;You Know You Like It;2014
Adam Lambert;Ghost Town;2015
Rae Sremmurd;No Type;2015
Taylor Swift;Bad Blood;2015
Flo Rida;GDFR (feat. Sage the Gemini & Lookas);2015
Robin Schulz;Sugar (feat. Francesco Yates);2015
Calvin Harris;How Deep Is Your Love;2015
Philip George;Wish You Were Mine - Radio Edit;2014
Trey Songz;Na Na;2015
Fall Out Boy;Centuries;2015
Rob $tone;Chill Bill (feat. J. Davi$ & Spooks);2016
Lost Frequencies;Are You With Me - Radio Edit;2014
Twenty One Pilots;Stressed Out;2015
Fifth Harmony;Worth It (feat. Kid Ink);2015
KALEO;Way down We Go;2015
Sam Smith;Like I Can;2014
Major Lazer;Light It Up (feat. Nyla & Fuse ODG) - Remix;2015
Martin Solveig;Intoxicated - New Radio Mix;2015
Avicii;Waiting For Love;2015
Felix Jaehn;Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson);2018
Taylor Swift;Wildest Dreams;2014
The Weeknd;In The Night;2015
Pitbull;Time of Our Lives;2014
Galantis;Runaway (U & I);2015
Rihanna;Bitch Better Have My Money;2015
Zara Larsson;Lush Life;2015
One Direction;Drag Me Down;2015
Travis Scott;Antidote;2015
Years & Years;King;2015
Demi Lovato;Confident;2015
Lemaitre;Closer;2017
Selena Gomez;Same Old Love;2015
Pia Mia;Do It Again;2015
Flo Rida;My House;2015
Silentó;Watch Me (Whip / Nae Nae);2015
Chris Brown;Ayo;2015
The Strumbellas;Spirits;2016
Fetty Wap;Trap Queen;2015
Tove Lo;Talking Body;2014
Beyoncé;7-Nov;2014
Lana Del Rey;High By The Beach;2015
Zara Larsson;Never Forget You;2017
Jeremih;oui;2015
Drake;Hotline Bling;2016
Selena Gomez;Kill Em With Kindness;2015
Birdy;Let It All Go;2015
Fetty Wap;679 (feat. Remy Boyz);2015
Ariana Grande;Love Me Harder;2014
The Weeknd;Can't Feel My Face;2015
SAYGRACE;You Don't Own Me (feat. G-Eazy);2015
X Ambassadors;Renegades;2015
R. City;Locked Away (feat. Adam Levine);2015
Kygo;Stole the Show;2016
Tame Impala;The Less I Know The Better;2015
Selena Gomez;Good For You;2015
Fetty Wap;My Way (feat. Monty);2015
Hozier;Take Me To Church;2014
Taylor Swift;Style;2014
Alessia Cara;Here;2015
Sam Smith;"Writing's On The Wall - From ""Spectre"" Soundtrack";2015
David Guetta;Bang My Head (feat. Sia & Fetty Wap);2015
Meek Mill;All Eyes on You (feat. Chris Brown & Nicki Minaj);2015
Big Sean;I Don't Fuck With You;2015
Kygo;Firestone;2016
Drake;Jumpman;2015
Petit Biscuit;Sunset Lover;2015
Shawn Mendes;Stitches;2015
Flo Rida;I Don't Like It, I Love It (feat. Robin Thicke & Verdine White);2015
Selena Gomez;The Heart Wants What It Wants;2014
Jack Ü;Where Are Ü Now (with Justin Bieber);2015
Ellie Goulding;On My Mind;2015
Bryson Tiller;Don't;2015
Rich Homie Quan;Flex (Ooh, Ooh, Ooh);2015
Joel Adams;Please Don't Go;2015
Zedd;I Want You To Know;2015
Jonas Blue;Fast Car;2015
BØRNS;Electric Love;2015
Sigala;Easy Love;2018
Justin Bieber;Sorry;2015
Ariana Grande;One Last Time;2014
Little Mix;Black Magic;2015
One Direction;Perfect;2015
Years & Years;Shine;2015
Meghan Trainor;Lips Are Movin;2015
Nicky Jam;El Perdón - Forgiveness;2017
The Weeknd;Starboy;2016
Drake;One Dance;2016
Justin Bieber;Love Yourself;2015
The Chainsmokers;Closer;2016
Adele;Hello;2015
Desiigner;Panda;2016
Burak Yeter;Tuesday (feat. Danelle Sandoval);2016
Sia;Cheap Thrills (feat. Sean Paul);2016
OneRepublic;Wherever I Go;2016
Rihanna;Work;2016
Coldplay;Hymn for the Weekend;2015
Justin Bieber;Sorry;2015
Justin Timberlake;"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")";2016
WILLOW;Wait a Minute!;2015
Desiigner;Tiimmy Turner;2016
G-Eazy;Me, Myself & I;2015
David Guetta;This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016);2016
Astrid S;Hurts So Good;2016
Lil Wayne;Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors);2016
Twenty One Pilots;Heathens;2016
Future;Low Life (feat. The Weeknd);2016
Galantis;No Money;2016
The Chainsmokers;Don't Let Me Down;2016
Tinie Tempah;Girls Like (feat. Zara Larsson);2016
Alok;Hear Me Now;2016
Jon Bellion;All Time Low;2016
Cheat Codes;Sex;2016
Meghan Trainor;NO;2017
Dua Lipa;Hotter Than Hell;2017
Martin Garrix;In the Name of Love;2016
Alan Walker;Faded;2018
Tove Lo;Cool Girl;2016
DJ Snake;Let Me Love You;2016
Calvin Harris;This Is What You Came For (feat. Rihanna);2016
Mike Posner;I Took A Pill In Ibiza - Seeb Remix;2016
Kevin Gates;2 Phones;2016
Rihanna;Needed Me;2016
Ariana Grande;Side To Side;2016
Marshmello;Alone;2016
Shawn Mendes;I Know What You Did Last Summer;2015
Selena Gomez;Same Old Love;2015
Calvin Harris;My Way;2016
Fitz and The Tantrums;HandClap;2016
Twenty One Pilots;Ride;2015
Flo Rida;My House;2015
Ariana Grande;Dangerous Woman;2016
Anne-Marie;Alarm;2016
Charlie Puth;We Don't Talk Anymore (feat. Selena Gomez);2016
AlunaGeorge;I'm In Control;2016
Enrique Iglesias;DUELE EL CORAZON (feat. Wisin);2016
MNEK;Never Forget You;2015
Mike Perry;The Ocean (feat. Shy Martin);2016
Drake;Hotline Bling;2016
Ariana Grande;Into You;2016
Shawn Mendes;Treat You Better;2017
Tory Lanez;Say It;2016
Coldplay;Adventure of a Lifetime;2015
Kungs;This Girl - Kungs Vs. Cookin' On 3 Burners;2016
SAYGRACE;You Don't Own Me (feat. G-Eazy);2016
X Ambassadors;Renegades;2015
DNCE;Cake By The Ocean;2016
99 Souls;The Girl Is Mine;2016
Illy;Papercuts (feat. Vera Blue);2016
Kiiara;Gold;2015
Kygo;Stole the Show;2016
Fifth Harmony;Work from Home (feat. Ty Dolla $ign);2016
Drake;Pop Style;2016
ZAYN;PILLOWTALK;2016
Alessia Cara;Here;2016
DJ Snake;Middle;2016
Sigala;Sweet Lovin' - Radio Edit;2015
Drake;Jumpman;2015
Charlie Puth;Dangerously;2016
Nick Jonas;Close;2016
Jonas Blue;Perfect Strangers;2016
Major Lazer;Cold Water (feat. Justin Bieber & MØ);2016
The Chainsmokers;Roses;2015
Tory Lanez;LUV;2016
P!nk;"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")";2016
Bryson Tiller;Don't;2015
Steve Aoki;Just Hold On;2016
Clean Bandit;Tears (feat. Louisa Johnson);2016
Jonas Blue;Fast Car;2015
Flume;Never Be Like You;2016
Bastille;Good Grief;2016
Sia;The Greatest (feat. Kendrick Lamar);2016
PARTYNEXTDOOR;Not Nice;2016
Garrett Nash;i hate u, i love u (feat. olivia o'brien);2016
Hilltop Hoods;1955;2016
Fifth Harmony;All In My Head (Flex) (feat. Fetty Wap);2016
Daya;Sit Still, Look Pretty;2016
Kent Jones;Don't Mind;2016
Flume;Say It;2016
Bryson Tiller;Exchange;2015
MØ;Final Song;2016
Beyoncé;Sorry;2016
Little Mix;Shout Out to My Ex;2017
The Lumineers;Ophelia;2016
Frank Ocean;Pink + White;2016
Drake;Too Good;2016
Ed Sheeran;Shape of You;2017
Sean Paul;No Lie;2018
Luis Fonsi;Despacito (Featuring Daddy Yankee);2017
Sam Smith;Too Good At Goodbyes;2017
Clean Bandit;Rockabye (feat. Sean Paul & Anne-Marie);2016
Camila Cabello;Havana (feat. Young Thug);2017
Imagine Dragons;Thunder;2017
Maroon 5;Don't Wanna Know (feat. Kendrick Lamar);2018
The Chainsmokers;Something Just Like This;2017
Ed Sheeran;Perfect;2017
MGMT;Little Dark Age;2018
Travis Scott;goosebumps;2016
Billie Eilish;Bored;2017
Future;Mask Off;2017
G-Eazy;Him & I;2017
Maroon 5;Cold (feat. Future);2017
Rae Sremmurd;Swang;2016
Lil Peep;Save That Shit;2017
A$AP Ferg;Plain Jane;2017
French Montana;Unforgettable;2017
21 Savage;Bank Account;2017
Axwell /\ Ingrosso;More Than You Know;2017
ZAYN;Dusk Till Dawn (feat. Sia) - Radio Edit;2017
J Balvin;Mi Gente;2017
Jax Jones;You Don't Know Me - Radio Edit;2016
Rae Sremmurd;Black Beatles;2016
Zara Larsson;Ain't My Fault;2017
Travis Scott;BUTTERFLY EFFECT;2017
Ayo & Teo;Rolex;2017
Lil Uzi Vert;XO Tour Llif3;2017
Imagine Dragons;Whatever It Takes;2017
Rob $tone;Chill Bill (feat. J. Davi$ & Spooks);2016
Jason Derulo;Swalla (feat. Nicki Minaj & Ty Dolla $ign);2017
G-Eazy;No Limit;2017
Playboi Carti;Magnolia;2017
Chord Overstreet;Hold On;2017
Jax Jones;Breathe;2017
Imagine Dragons;Believer;2017
Natti Natasha;Criminal;2017
Kendrick Lamar;HUMBLE.;2017
Selena Gomez;Fetish (feat. Gucci Mane);2017
Charlie Puth;Attention;2017
Big Shaq;Man's Not Hot;2017
Anne-Marie;Ciao Adios;2017
Rag'n'Bone Man;Human;2017
blackbear;do re mi;2017
Lil Pump;Gucci Gang;2017
Taylor Swift;Look What You Made Me Do;2017
Enrique Iglesias;SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox);2017
Kodak Black;Tunnel Vision;2017
Kendrick Lamar;DNA.;2017
A Boogie Wit da Hoodie;Drowning (feat. Kodak Black);2017
XXXTENTACION;Jocelyn Flores;2017
Migos;Bad and Boujee (feat. Lil Uzi Vert);2017
Yo Gotti;Rake It Up (feat. Nicki Minaj);2017
Martin Garrix;Scared to Be Lonely;2017
Jonas Blue;Mama;2017
Martin Jensen;Solo Dance;2016
Taylor Swift;...Ready For It?;2017
David Guetta;2U (feat. Justin Bieber);2017
Migos;Slippery (feat. Gucci Mane);2017
Shawn Mendes;There's Nothing Holdin' Me Back;2017
G-Eazy;Good Life (with G-Eazy & Kehlani);2017
The Vamps;All Night;2017
Dua Lipa;New Rules;2017
Cardi B;Bodak Yellow;2017
Rag'n'Bone Man;Skin;2017
Zara Larsson;I Would Like;2017
DJ Khaled;Wild Thoughts (feat. Rihanna & Bryson Tiller);2017
Post Malone;Congratulations;2016
Avicii;Without You (feat. Sandro Cavazza);2017
Clean Bandit;Symphony (feat. Zara Larsson);2017
Katy Perry;Chained To The Rhythm;2017
Zay Hilfigerrr;Juju on That Beat (TZ Anthem);2016
Calvin Harris;Feels (feat. Pharrell Williams, Katy Perry & Big Sean);2017
Migos;T-Shirt;2017
OneRepublic;Rich Love (with Seeb);2017
Maggie Lindemann;Pretty Girl - Cheat Codes X CADE Remix;2017
Macklemore;Glorious (feat. Skylar Grey);2017
Hayden James;NUMB;2019
Liam Payne;Strip That Down;2017
Drake;Passionfruit;2017
Justin Bieber;Friends (with BloodPop®);2017
ZAYN;"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""";2016
Alessia Cara;Scars To Your Beautiful;2016
2 Chainz;It's A Vibe;2017
Starley;Call on Me - Ryan Riback Remix;2016
AJR;Weak;2017
Lana Del Rey;Lust for Life (with The Weeknd);2017
CNCO;Reggaetón Lento (Remix);2017
The Vamps;Middle Of The Night;2017
The Weeknd;I Feel It Coming;2016
The Chainsmokers;Paris;2017
Big Sean;Bounce Back;2017
Shawn Mendes;Mercy;2017
Avicii;Lonely Together (feat. Rita Ora);2017
Cheat Codes;No Promises (feat. Demi Lovato);2017
Bruno Mars;24K Magic;2016
Lorde;Homemade Dynamite - REMIX;2017
Kygo;It Ain't Me (with Selena Gomez);2017
Drake;God's Plan;2018
Post Malone;rockstar (feat. 21 Savage);2018
Offset;Ric Flair Drip (with Metro Boomin);2017
G-Eazy;Him & I (with Halsey);2017
Dynoro;In My Mind;2018
Juice WRLD;Lucid Dreams;2018
Zedd;The Middle;2018
Marshmello;FRIENDS;2018
Cardi B;I Like It;2018
XXXTENTACION;Moonlight;2018
Ariana Grande;no tears left to cry;2018
Sheck Wes;Mo Bamba;2018
Calvin Harris;One Kiss (with Dua Lipa);2018
Tyga;Taste (feat. Offset);2018
Travis Scott;SICKO MODE;2018
Imagine Dragons;Natural;2018
DJ Snake;Taki Taki (with Selena Gomez, Ozuna & Cardi B);2018
Marshmello;Spotlight;2018
The Weeknd;Pray For Me (with Kendrick Lamar);2018
Billie Eilish;lovely (with Khalid);2018
Migos;Walk It Talk It;2018
Clean Bandit;Solo (feat. Demi Lovato);2018
Drake;Nonstop;2018
6ix9ine;FEFE;2018
The Weeknd;Call Out My Name;2018
Nio Garcia;Te Boté - Remix;2018
Migos;MotorSport;2018
Nicky Jam;X;2019
XXXTENTACION;SAD!;2018
Becky G;Sin Pijama;2018
Machine Gun Kelly;Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha);2017
6ix9ine;GUMMO;2018
Jax Jones;Breathe;2017
The Chainsmokers;Sick Boy;2018
Jay Rock;King's Dead (with Kendrick Lamar, Future & James Blake);2018
Rich The Kid;Plug Walk;2018
Kendrick Lamar;All The Stars (with SZA);2018
Logic;Everyday;2018
Jason Derulo;Tip Toe (feat. French Montana);2017
Ariana Grande;God is a woman;2018
Rae Sremmurd;Powerglide (feat. Juicy J) - From SR3MM;2018
EO;German;2018
Dennis Lloyd;Nevermind;2017
girl in red;we fell in love in october;2018
Selena Gomez;Wolves;2017
Tiësto;Jackie Chan;2018
Tom Walker;Leave a Light On;2017
Sofía Reyes;1, 2, 3 (feat. Jason Derulo & De La Ghetto);2018
Marshmello;Silence;2017
5 Seconds of Summer;Youngblood;2018
Loud Luxury;Body (feat. brando);2017
Liam Payne;For You (Fifty Shades Freed) (& Rita Ora);2018
NF;Let You Down;2017
XXXTENTACION;changes;2018
Maluma;Corazón (feat. Nego do Borel);2018
Cardi B;Bodak Yellow;2018
Lil Baby;Yes Indeed;2018
Jonas Blue;Rise;2018
David Guetta;Flames;2018
Ozuna;Vaina Loca;2018
Charlie Puth;How Long;2018
Post Malone;Better Now;2018
BlocBoy JB;Look Alive (feat. Drake);2018
Eminem;River (feat. Ed Sheeran);2017
Marshmello;Happier;2018
Dean Lewis;Be Alright;2018
Charlie Puth;Done for Me (feat. Kehlani);2018
Migos;Stir Fry;2018
YG;BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj);2018
Drake;In My Feelings;2018
B Young;Jumanji;2018
Charlie Puth;The Way I Am;2018
Reik;Me Niego (feat. Ozuna & Wisin);2018
benny blanco;Eastside (with Halsey & Khalid);2018
Luis Fonsi;Échame La Culpa;2017
MK;17;2017
Rita Ora;Anywhere;2017
Banx & Ranx;Answerphone (feat. Yxng Bane);2018
Ella Mai;Trip;2018
Daddy Yankee;Dura;2018
DJ Khaled;No Brainer;2018
Anne-Marie;2002;2018
FINNEAS;Let's Fall in Love for the Night;2018
Hugh Jackman;The Greatest Show;2017
Halsey;Bad At Love;2017
Drake;I'm Upset;2018
Camila Cabello;Never Be the Same;2018
M.O;Bad Vibe;2018
Dua Lipa;IDGAF;2017
Cashmere Cat;Miss You (with Major Lazer & Tory Lanez);2018
Bazzi;Mine;2018
Lil Dicky;Freaky Friday (feat. Chris Brown);2018
Lauv;I Like Me Better;2018
The Chainsmokers;This Feeling;2018
Maroon 5;Girls Like You (feat. Cardi B) - Cardi B Version;2018
Khalid;Love Lies (with Normani);2018
Drake;Nice For What;2018
Kendrick Lamar;LOVE. FEAT. ZACARI.;2017
Post Malone;Psycho (feat. Ty Dolla $ign);2018
Lil Nas X;Old Town Road - Remix;2019
Billie Eilish;bad guy;2019
Shawn Mendes;Señorita;2019
Ariana Grande;7 rings;2019
Post Malone;Sunflower - Spider-Man: Into the Spider-Verse;2019
Gesaffelstein;Lost in the Fire (feat. The Weeknd);2019
Halsey;Without Me;2018
Regard;Ride It;2019
Lady Gaga;Shallow;2018
Mark Ronson;Nothing Breaks Like a Heart (feat. Miley Cyrus);2018
Lewis Capaldi;Someone You Loved;2019
Jax Jones;All Day And Night;2019
Mustard;Pure Water (with Migos);2019
NLE Choppa;Shotta Flow (feat. Blueface) [Remix];2019
Kodak Black;ZEZE (feat. Travis Scott & Offset);2018
Daddy Yankee;Con Calma;2019
Alec Benjamin;Let Me Down Slowly;2018
BLACKPINK;Kill This Love;2019
Offset;Clout (feat. Cardi B);2019
MEDUZA;Piece Of Your Heart;2019
Ed Sheeran;Antisocial (with Travis Scott);2019
Travis Scott;SICKO MODE;2018
Mabel;Mad Love;2019
Lana Del Rey;Doin' Time;2019
DJ Snake;Taki Taki (feat. Selena Gomez, Ozuna & Cardi B);2019
A Boogie Wit da Hoodie;Look Back at It;2018
Saweetie;My Type;2019
Lil Tecca;Ransom;2019
Russ Millions;Keisha & Becky - Remix;2019
Billie Eilish;lovely (with Khalid);2018
Mabel;Don't Call Me Up;2019
Lil Nas X;Old Town Road;2019
Meek Mill;Going Bad (feat. Drake);2018
Post Malone;Wow.;2019
Doja Cat;Juicy;2019
A Boogie Wit da Hoodie;Swervin (feat. 6ix9ine);2018
iann dior;emotions;2019
Paulo Londra;Adan y Eva;2019
Drake;Money In The Grave (Drake ft. Rick Ross);2019
Lil Nas X;Panini;2019
Bad Bunny;MIA (feat. Drake);2018
Polo G;Pop Out (feat. Lil Tjay);2019
Juice WRLD;Robbery;2019
21 Savage;a lot;2018
Young Thug;The London (feat. J. Cole & Travis Scott);2019
Anuel AA;China;2019
Camila Cabello;Liar;2019
Flipp Dinero;Leave Me Alone;2019
Cardi B;Money;2018
Ariana Grande;break up with your girlfriend, i'm bored;2019
Dave;Location (feat. Burna Boy);2019
Ava Max;Sweet but Psycho;2018
Dua Lipa;Don't Start Now;2019
Young T & Bugsey;Strike a Pose (feat. Aitch);2019
Calvin Harris;Giant (with Rag'n'Bone Man);2019
Ed Sheeran;Take Me Back to London (feat. Stormzy);2019
Cardi B;Please Me;2019
Stormzy;Vossi Bop;2019
Tones And I;Dance Monkey;2019
Ariana Grande;boyfriend (with Social House);2019
Bad Bunny;Callaita;2019
Ava Max;So Am I;2019
Pedro Capó;Calma - Remix;2018
J. Cole;MIDDLE CHILD;2019
Lunay;Soltera - Remix;2019
Khalid;Better;2018
Blueface;Thotiana;2018
DaBaby;Suge;2019
AJ Tracey;Ladbroke Grove;2019
Billie Eilish;bury a friend;2019
BTS;Boy With Luv (feat. Halsey);2019
Wiley;Boasty (feat. Idris Elba);2019
Jonas Brothers;Only Human;2019
5 Seconds of Summer;Easier;2019
Avicii;SOS (feat. Aloe Blacc);2019
Ashley O;On A Roll;2019
Dominic Fike;3 Nights;2018
Sigala;Wish You Well;2019
Megan Thee Stallion;Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign);2019
Anuel AA;Secreto;2019
Sam Feldt;Post Malone (feat. RANI);2019
Kehlani;Nights Like This (feat. Ty Dolla $ign);2019
Sech;Otro Trago;2019
Post Malone;Better Now;2018
Ed Sheeran;Cross Me (feat. Chance the Rapper & PnB Rock);2019
Lauv;i'm so tired...;2019
iann dior;gone girl;2019
Panic! At The Disco;High Hopes;2018
Marshmello;One Thing Right;2019
Sam Smith;How Do You Sleep?;2019
NSG;Options;2020
Normani;Motivation;2019
Joel Corry;Sorry;2019
Post Malone;Goodbyes (Feat. Young Thug);2019
Jonas Brothers;Sucker;2019
Taylor Swift;Cruel Summer;2019
Blanco Brown;The Git Up;2019
Sam Smith;Dancing With A Stranger (with Normani);2019
Post Malone;Circles;2019
